id,speaker,line,addressee,confidence,reasoning,masu_count,desu_count,gozaimasu_count,honorific_verb_count,humble_verb_count,total_polite_count,polite_density
1,お父さん,千尋！,千尋,high,Father is calling out Chihiro's name directly.,0,0,0,0,0,0,0.0000
2,お父さん,もうすぐだよ。,千尋,high,"Father is speaking to his daughter about their arrival, using casual speech pattern.",0,0,0,0,0,0,0.0000
3,お母さん,やっぱり田舎ねぇ。,お父さん,medium,"Mother is making an observation about the countryside, likely directed at her husband.",0,0,0,0,0,0,0.0000
4,お母さん,買い物は隣町に行くしかなさそうね。,group:family,medium,"Mother is making a general observation about shopping, addressing the family group.",0,0,0,0,0,0,0.0000
5,お父さん,住んで都にするしかないさ。,お母さん,high,Father is responding to mother's comment with a counter-argument.,0,0,0,0,0,0,0.0000
6,お父さん,ほら、あれが小学校だよ。,千尋,high,Father is pointing out the school to his daughter using 'ほら' (look).,0,0,0,0,0,0,0.0000
7,お父さん,千尋、新しい学校だよ。,千尋,high,Father is directly addressing Chihiro by name about her new school.,0,0,0,0,0,0,0.0000
8,お母さん,結構きれいな学校じゃない？,group:family,medium,"Mother is making a general observation about the school, likely to the family group.",0,0,0,0,0,0,0.0000
9,千尋,前のほうがいいもん。,group:family,medium,"Chihiro is expressing her preference, likely responding to parents' comments about the new school.",0,0,0,0,0,0,0.0000
10,千尋,あっ…ああ！,self,high,"Chihiro is reacting with exclamations to something she sees, not addressing anyone specifically.",0,0,0,0,0,0,0.0000
11,千尋,お母さん！お花しおれてっちゃった。,お母さん,high,千尋 is calling out to her mother about the wilted flowers.,0,0,0,0,0,0,0.0000
12,お母さん,あなたずーっと握りしめてるんだもの。,千尋,high,お母さん is responding to 千尋's complaint by explaining why the flowers wilted.,0,0,0,0,0,0,0.0000
13,お母さん,お家に着いたら、水切りすれば大丈夫よ。,千尋,high,お母さん continues giving advice to 千尋 about what to do when they get home.,0,0,0,0,0,0,0.0000
14,千尋,初めてもらった花束がお別れの花束なんて悲しい。,self,high,"千尋 is expressing her own feelings in a musing tone, not directly addressing anyone.",0,0,0,0,0,0,0.0000
15,お母さん,あら。この前のお誕生日にバラの花をもらったじゃない？,千尋,high,お母さん is responding directly to 千尋's statement by referencing a previous birthday gift.,0,0,0,0,0,0,0.0000
16,千尋,１本ね。１本じゃ花束って言えないわ。,お母さん,high,千尋 is countering her mother's point about the previous flower gift.,0,0,0,0,0,0,0.0000
17,お母さん,カードが落ちたわ。,千尋,high,"お母さん is informing 千尋 that a card has fallen, presumably while attending to the flowers.",0,0,0,0,0,0,0.0000
18,お母さん,窓開けるわよ。,group:family in car,high,"お母さん is announcing she will open the window, addressing the general occupants of the car.",0,0,0,0,0,0,0.0000
19,お母さん,もう、シャンとしてちょうだい。,千尋,high,お母さん is scolding 千尋 to cheer up or behave properly.,0,0,0,0,0,0,0.0000
20,お母さん,今日は忙しいんだから。,千尋,high,"お母さん is explaining to 千尋 that she is busy today, continuing to address her daughter.",0,0,0,0,0,0,0.0000
21,お父さん,あれ？道を間違えたかな。,self,high,"お父さん is speaking to himself, wondering aloud if he took a wrong turn.",0,0,0,0,0,0,0.0000
22,お父さん,おかしいなぁ。,self,high,"お父さん is muttering to himself, expressing confusion about the situation.",0,0,0,0,0,0,0.0000
23,お母さん,あそこじゃない？ほら。,お父さん,high,お母さん is responding to お父さん's confusion and pointing out a location to him.,0,0,0,0,0,0,0.0000
24,お父さん,ん？,お母さん,high,お父さん is responding to お母さん's suggestion with a brief acknowledgment.,0,0,0,0,0,0,0.0000
25,お母さん,あの隅の青い家でしょう？,お父さん,high,"お母さん is clarifying which house she meant, continuing to address her husband.",0,1,0,0,0,1,0.0833
26,お父さん,あれだ。,self,high,お父さん is confirming to himself that he found the correct location.,0,0,0,0,0,0,0.0000
27,お父さん,１本下の道を来ちゃったんだな。,self,high,お父さん is explaining to himself what mistake he made in navigation.,0,0,0,0,0,0,0.0000
28,お父さん,このまま行って行けないかなぁ…。,group:family,medium,"お父さん is wondering aloud about continuing on the current path, addressing his family implicitly.",0,0,0,0,0,0,0.0000
29,お母さん,やめてよ、そうやっていつも迷っちゃうんだから。,お父さん,high,"お母さん is directly addressing her husband, criticizing his habit of getting lost.",0,0,0,0,0,0,0.0000
30,お父さん,ちょっとだけ。ねっ？,お母さん,high,"お父さん is responding to お母さん's protest, asking for her permission to explore the side road.",0,0,0,0,0,0,0.0000
31,千尋,あの家みたいの何？,group:parents,high,"千尋 is asking about a structure she sees, directing the question to whoever can explain it.",0,0,0,0,0,0,0.0000
32,お母さん,石のほこら。神様のお家よ。,千尋,high,お母さん is directly answering 千尋's question about the stone shrine.,0,0,0,0,0,0,0.0000
33,千尋,お父さん、大丈夫？,お父さん,high,千尋 is asking if her father is okay after the car's rough movement.,0,0,0,0,0,0,0.0000
34,お父さん,任せとけ。この車は四駆だぞ。,千尋,high,お父さん is reassuring 千尋 about his driving ability with the four-wheel drive vehicle.,0,0,0,0,0,0,0.0000
35,お母さん,千尋、座ってなさい。,千尋,high,お母さん is directly commanding 千尋 to sit down during the car ride.,0,0,0,1,0,1,0.1000
36,千尋,わっ…わっ…うわっ！,self,high,"千尋's exclamations are reactions to the rough car movement, not addressed to anyone specific.",0,0,0,0,0,0,0.0000
37,千尋,ああー！,self,high,"千尋's cry is an emotional reaction to the car entering the tunnel, not addressed to anyone.",0,0,0,0,0,0,0.0000
38,お母さん,あなた！いいかげんにして！,お父さん,high,お母さん is scolding her husband (あなた) for his reckless driving behavior.,0,0,0,0,0,0,0.0000
39,お父さん,トンネルだ！,group:family,high,お父さん is announcing the observation of a tunnel to the family in the car.,0,0,0,0,0,0,0.0000
40,お母さん,なぁに？この建物。,group:family,medium,"お母さん is asking about the building they've discovered, likely directed at the family present.",0,0,0,0,0,0,0.0000
41,お父さん,門みたいだね。,お母さん,high,お父さん is responding to お母さん's previous question about the building.,0,0,0,0,0,0,0.0000
42,お母さん,あなた！,お父さん,high,お母さん is calling out to her husband to stop or get his attention.,0,0,0,0,0,0,0.0000
43,お母さん,戻りましょう！あなた。,お父さん,high,"お母さん is directly addressing あなた (you), referring to お父さん as the subject.",1,0,0,0,0,1,0.0909
44,お母さん,千尋。,千尋,high,お母さん calls out her daughter's name directly.,0,0,0,0,0,0,0.0000
45,お母さん,もう…。,self,high,"This is an interjection expressing frustration, not directed at anyone specific.",0,0,0,0,0,0,0.0000
46,お父さん,何だ。モルタル製か。,self,high,お父さん is speaking his observation aloud to himself while examining the building.,0,0,0,0,0,0,0.0000
47,お父さん,結構新しい建物だよ。,group:family,medium,お父さん is sharing his observation with his family members present.,0,0,0,0,0,0,0.0000
48,千尋,あっ…。,self,high,"千尋 is reacting with a vocalization, not addressing anyone.",0,0,0,0,0,0,0.0000
49,千尋,風を吸い込んでる。,self,high,千尋 is making an observation about what she notices about the building.,0,0,0,0,0,0,0.0000
50,お母さん,なぁに？,千尋,high,お母さん is asking what 千尋 just said in response to her observation.,0,0,0,0,0,0,0.0000
51,お父さん,ちょっと行ってみない？向こうへ抜けられるんだ。,お母さん," 千尋",high,0,0,0,0,0,0,0.0000
52,千尋,ここイヤだ！戻ろう、お父さん！,お父さん,high,Chihiro is directly addressing her father with a plea to turn back,0,0,0,0,0,0,0.0000
53,お父さん,何だ。怖がりだな、千尋は。,千尋,high,"Father is teasing Chihiro about being timid, addressing her directly",0,0,0,0,0,0,0.0000
54,お父さん,ねっ？ちょっとだけ。,千尋,high,Father is persuading Chihiro to go just a little further,0,0,0,0,0,0,0.0000
55,お母さん,引っ越しセンターのトラックが来ちゃうわよ。,お父さん,high,Mother is addressing father about the moving truck arrival,0,0,0,0,0,0,0.0000
56,お父さん,平気だよ。鍵は渡してあるし。,お母さん,high,Father is reassuring mother that they have time,0,0,0,0,0,0,0.0000
57,お父さん,全部やってくれるんだろ？,お母さん,high,Father is asking mother if the movers will handle everything,0,0,0,0,0,0,0.0000
58,お母さん,そりゃそうだけど…。,お父さん,high,Mother is responding to father's question about the movers,0,0,0,0,0,0,0.0000
59,千尋,イヤだ！私、行かないよ！,group:parents,high,Chihiro is expressing refusal to her parents,0,0,0,0,0,0,0.0000
60,千尋,戻ろうよ、お父さん！,お父さん,high,Chihiro is directly pleading with her father to go back,0,0,0,0,0,0,0.0000
61,お父さん,おいで。平気だよ。,千尋,high,Father calling his daughter to follow him reassuringly.,0,0,0,0,0,0,0.0000
62,千尋,私、行かない！,self,high,"Chihiro expressing her own refusal, internal declaration.",0,0,0,0,0,0,0.0000
63,千尋,うっ…。,self,high,"Sound of distress from Chihiro, not directed at anyone specific.",0,0,0,0,0,0,0.0000
64,千尋,あっ！,self,high,"Exclamation of surprise or alarm, not addressed to anyone.",0,0,0,0,0,0,0.0000
65,お母さん,千尋は車の中で待ってなさい。,千尋,high,Mother giving direct instruction to her daughter Chihiro.,0,0,0,1,0,1,0.0714
66,千尋,ん…。,self,high,"Chihiro's brief acknowledgment, self-directed response.",0,0,0,0,0,0,0.0000
67,千尋,お母さーん！,group:parents,high,"Chihiro calling out desperately to her mother, using the honorific form.",0,0,0,0,0,0,0.0000
68,千尋,待ってー！,group:parents,high,Chihiro calling out to her parents to wait for her.,0,0,0,0,0,0,0.0000
69,お父さん,足元気をつけな。,group:family members,high,Father warning family members to be careful with their footing.,0,0,0,0,0,0,0.0000
70,お母さん,千尋、そんなにくっつかないでよ。,千尋,high,Mother directly addressing Chihiro to stop clinging so closely.,0,0,0,0,0,0,0.0000
71,お母さん,歩きにくいわ。,group:family,medium,"Complaint about difficulty walking, likely directed at those nearby (family members).",0,0,0,0,0,0,0.0000
72,千尋,ここどこ？,group:family,high,Chihiro asking a question to her parents/family about their location.,0,0,0,0,0,0,0.0000
73,お母さん,あっ！ほら、聞こえる。,千尋,high,Mother drawing daughter's attention to a sound she hears.,0,0,0,0,0,0,0.0000
74,千尋,電車の音！,self,high,Chihiro recognizing and identifying the sound she hears as a train.,0,0,0,0,0,0,0.0000
75,お母さん,案外駅が近いのかもしれないね。,group:family,high,Mother speculating about their location to the family group.,0,0,0,0,0,0,0.0000
76,お父さん,行こう。すぐ分かるさ。,group:family,high,Father giving direction/instruction to the group to proceed.,0,0,0,0,0,0,0.0000
77,千尋,こんなとこに家がある…。,self,medium,Chihiro's observation/reaction to seeing a house in an unexpected location.,0,0,0,0,0,0,0.0000
78,お父さん,やっぱり間違いないな。,group:family,high,Father confirming his suspicion to the family.,0,0,0,0,0,0,0.0000
79,お父さん,テーマパークの残骸だよ、これ。,group:family,high,Father explaining what the location is to his family members.,0,0,0,0,0,0,0.0000
80,お父さん,１９９０年頃に、あっちこっちでたくさん計画されてさ。,group:family,high,Father continuing to explain the history of the theme park to his family.,0,0,0,0,0,0,0.0000
81,お父さん,バブルがはじけて、みんなつぶれちゃったんだ。,千尋,high,お父さん is explaining the theme park situation to his daughter who expressed concern about the location.,0,0,0,0,0,0,0.0000
82,お父さん,これもその１つだよ、きっと。,千尋,high,"Continuing explanation from previous line, confirming the abandoned building is one of those failed theme parks.",0,0,0,0,0,0,0.0000
83,千尋,えー？！まだ行くの？！,お父さん,high,千尋 is directly questioning and protesting her father's decision to continue exploring.,0,0,0,0,0,0,0.0000
84,千尋,お父さん、もう帰ろうよ！,お父さん,high,千尋 is directly pleading with her father by name to turn back.,0,0,0,0,0,0,0.0000
85,千尋,ねえー！,group:family,high,"千尋's repeated call to get attention, likely addressed to both parents who are not responding.",0,0,0,0,0,0,0.0000
